province,ID,year,quarter,pop_dens,literacy,in_migration,pop,urban_rural_ratio,cases,incidence,diff
ben tre,3,2015,2,540.64,94.6,3.7,1275800,0.109680786292076,288,22.5740711710299,-0.105590062111801
ben tre,3,2015,1,540.64,94.6,3.7,1275800,0.109680786292076,322,25.2390656842765,0.202882527112312
binh dinh,46,2014,3,245.86,95.7,4.4,1487600,0.462187186695237,213,14.3183651519226,-0.29
binh dinh,46,2014,1,245.86,95.7,4.4,1487600,0.462187186695237,257,17.2761495025544,-0.0191169392166079
binh dinh,46,2014,2,245.86,95.7,4.4,1487600,0.462187186695237,300,20.1667114815811,0.167315175097276
binh dinh,46,2015,2,245.86,96.1,2.3,1487600,0.464029130991044,292,19.6289325087389,0.528795811518325
binh dinh,46,2011,1,245.84,93.8,6.6,1487460,0.392088047842322,401,26.958708133328,0
binh dinh,46,2013,4,245.85,95.8,3.7,1487550,0.460257782053422,262,17.6128533494672,-0.168253968253968
binh dinh,46,2013,3,245.85,95.8,3.7,1487550,0.460257782053422,315,21.1757587980236,-0.0247678018575851
binh dinh,46,2014,4,245.86,95.7,4.4,1487600,0.462187186695237,243,16.3350363000807,0.140845070422535
binh dinh,46,2015,1,245.86,96.1,2.3,1487600,0.464029130991044,191,12.8394729766066,-0.213991769547325
binh dinh,46,2012,2,245.84,95.7,2.8,1487510,0.458343137254902,272,18.285591357369,-0.0522648083623694
binh dinh,46,2013,2,245.85,95.8,3.7,1487550,0.460257782053422,323,21.7135558468623,0.1875
binh dinh,46,2015,3,245.86,96.1,2.3,1487600,0.464029130991044,272,18.2844850766335,-0.0684931506849315
binh dinh,46,2011,3,245.84,93.8,6.6,1487460,0.392088047842322,334,22.4543853280088,-0.12565445026178
binh dinh,46,2012,1,245.84,95.7,2.8,1487510,0.458343137254902,287,19.2939879395769,0.231718253244765
binh dinh,46,2011,2,245.84,93.8,6.6,1487460,0.392088047842322,382,25.6813628601778,-0.0473815461346634
binh dinh,46,2013,1,245.85,95.8,3.7,1487550,0.460257782053422,272,18.2850996605156,-0.0748548096594021
binh dinh,46,2012,4,245.84,95.7,2.8,1487510,0.458343137254902,294,19.7645730112739,-0.0167224080267558
binh dinh,46,2015,4,245.86,96.1,2.3,1487600,0.464029130991044,239,16.0661468136596,-0.121323529411765
binh dinh,46,2011,4,245.84,93.8,6.6,1487460,0.392088047842322,233,15.6642867707367,-0.302395209580838
binh dinh,46,2012,3,245.84,95.7,2.8,1487510,0.458343137254902,299,20.1007052053432,0.099264705882353
binh duong,75,2015,1,767.96,97.3,52,2069200,3.29561968029894,576,27.8368451575488,0.248454100372026
binh duong,75,2011,2,630.91,96.2,64.8,1699930,1.8176890818982,415,24.4127699375857,-0.0879120879120879
binh duong,75,2011,3,630.91,96.2,64.8,1699930,1.8176890818982,489,28.7658903601913,0.178313253012048
binh duong,75,2012,3,664.23,97.1,59.1,1789710,1.81056251766701,401,22.4058646372876,-0.130151843817787
binh duong,75,2012,1,664.23,97.1,59.1,1789710,1.81056251766701,438,24.4732386811271,0.241874406901744
binh duong,75,2014,3,734.06,97.2,70.2,1977840,3.34212952799122,482,24.3700198196012,-0.0203252032520325
binh duong,75,2013,3,695.32,97.2,54.5,1873480,1.80268078867845,492,26.261289151739,0.0580645161290322
